transaction_id,transaction_date,transaction_time,transaction_qty,store_location,unit_price,product_category,product_type,product_detail,period,season
1,0,1156,2,2,3.0,2,13,32,1,2
2,0,1256,2,2,3.1,8,4,71,1,2
3,0,1435,2,2,4.5,4,17,20,1,2
4,0,1656,1,2,2.0,2,10,60,1,2
5,0,1731,2,2,3.1,8,4,71,1,2
6,0,1731,1,2,3.0,0,27,55,1,2
7,0,1829,1,2,2.0,2,10,60,1,2
8,0,2102,2,2,2.0,2,13,16,1,2
9,0,2314,1,2,4.25,2,0,48,1,2
10,0,2329,2,2,3.5,4,17,21,1,2
11,0,2457,1,2,2.55,8,4,72,1,2
12,0,2508,2,2,3.5,2,13,31,1,2
13,0,2559,1,2,3.0,8,3,23,1,2
14,0,2654,1,2,3.1,8,4,71,1,2
15,0,2817,2,2,3.0,2,0,61,1,2
16,0,3084,2,2,3.0,8,5,68,1,2
17,0,3084,1,2,3.75,0,27,46,1,2
18,0,3097,1,1,2.5,8,6,51,1,2
19,0,3112,2,1,4.5,4,17,20,1,2
20,0,3550,1,1,4.75,4,17,75,1,2
21,0,3800,2,1,3.5,2,13,31,1,2
22,0,4079,2,2,2.55,8,4,72,1,2
23,0,4079,1,2,3.25,0,1,37,1,2
24,0,4303,1,1,2.55,8,4,72,1,2
25,0,4382,1,1,3.75,2,0,5,1,2
26,0,4457,1,2,3.0,8,6,50,1,2
27,0,4457,1,2,3.5,0,1,9,1,2
28,0,4540,2,2,3.0,8,6,63,1,2
29,0,4540,1,2,3.75,0,23,10,1,2
30,0,4819,2,1,3.75,2,0,5,1,2
31,0,5232,1,1,3.75,2,0,47,1,2
32,0,5255,1,2,3.0,2,22,3,1,2
33,0,5341,2,2,3.5,2,22,2,1,2
34,0,5415,2,2,2.5,2,13,15,1,2
35,0,5474,1,1,2.5,8,4,54,1,2
36,0,5522,1,2,3.0,2,22,3,1,2
37,0,5567,1,2,4.0,8,4,53,1,2
38,0,5574,2,1,3.75,2,0,5,1,2
39,0,5859,1,1,3.0,8,6,63,1,2
40,0,5899,2,1,3.0,8,6,63,1,2
41,0,5901,1,1,3.0,2,10,58,1,2
42,0,5995,2,2,3.75,4,17,76,1,2
43,0,5995,1,2,4.5,0,27,66,1,2
44,0,6019,1,2,2.55,8,4,72,1,2
45,0,6019,1,2,3.0,0,27,55,1,2
46,0,6101,1,2,2.5,8,6,64,1,2
47,0,6111,2,2,2.55,8,4,72,1,2
48,0,6142,1,2,2.5,8,3,27,1,2
49,0,6143,1,1,2.5,2,10,59,1,2
50,0,6150,1,1,2.5,8,5,69,1,2
51,0,6163,1,1,3.0,2,13,32,1,2
52,0,6182,2,2,3.0,8,5,68,1,2
53,0,6184,2,2,3.0,8,6,50,1,2
54,0,6349,2,2,2.2,2,22,4,1,2
55,0,6353,1,1,4.5,4,17,20,1,2
56,0,6423,1,2,3.75,2,0,47,1,2
57,0,6477,1,1,3.0,8,6,63,1,2
58,0,6497,1,2,2.45,2,25,45,1,2
59,0,6803,2,1,3.75,2,25,43,1,2
60,0,6803,1,1,3.5,0,1,34,1,2
61,0,6804,1,1,3.0,8,4,78,1,2
62,0,6983,2,1,4.25,2,0,6,1,2
63,0,7226,1,2,4.25,2,0,6,1,2
64,0,7279,2,2,3.0,8,6,63,1,2
65,0,7279,1,2,3.75,0,27,46,1,2
66,0,7397,2,2,2.5,8,4,54,1,2
67,0,7420,1,2,3.0,2,10,58,1,2
68,0,7502,2,2,3.0,2,0,29,1,2
69,0,7538,2,1,3.75,2,0,5,1,2
70,0,7662,2,2,3.0,2,0,29,1,2
71,0,7662,1,2,3.25,0,1,37,1,2
72,0,7754,1,2,2.5,8,3,24,1,2
73,0,7772,1,1,3.0,8,5,68,1,2
74,0,7781,2,1,3.75,2,0,5,1,2
75,0,7781,1,1,3.25,0,27,35,1,2
76,0,7783,1,1,3.1,2,25,44,1,2
77,0,7826,1,2,2.5,2,10,59,1,2
78,0,7848,2,2,3.0,8,6,50,1,2
79,0,7904,1,1,2.0,2,10,60,1,2
80,0,8078,2,1,3.0,2,13,32,1,2
81,0,8224,2,1,3.75,2,25,43,1,2
82,0,8672,1,2,3.0,2,22,3,1,2
83,0,8672,1,2,3.75,0,23,10,1,2
84,0,8744,2,2,3.0,2,13,32,1,2
85,0,8746,1,1,2.5,8,4,54,1,2
86,0,8818,2,1,4.25,2,0,6,1,2
87,0,8845,2,2,2.2,2,22,4,1,2
88,0,8878,2,2,2.5,2,10,59,1,2
89,0,9060,1,1,2.5,8,4,54,1,2
90,0,9101,2,1,2.55,8,4,72,1,2
91,0,9122,2,2,3.5,4,17,21,1,2
92,0,9122,1,2,3.5,0,1,34,1,2
93,0,9203,2,1,3.0,8,5,68,1,2
94,0,9302,1,2,3.1,2,25,44,1,2
95,0,9302,1,2,3.25,0,27,17,1,2
96,0,9550,1,1,3.75,4,17,76,1,2
97,0,9816,1,2,4.5,4,17,20,1,2
98,0,10068,2,2,3.75,2,25,43,1,2
99,0,10120,2,1,3.0,8,3,23,1,2
100,0,10146,2,2,4.75,4,17,75,1,2
101,0,10202,1,2,3.0,8,5,68,1,2
102,0,10264,2,1,2.5,2,10,59,1,2
103,0,10264,1,1,3.75,0,23,0,1,2
104,0,10408,1,2,3.75,2,0,47,1,2
105,0,10408,1,2,3.5,0,1,9,1,2
106,0,10614,1,0,2.0,2,10,60,1,2
107,0,10618,1,0,3.75,2,0,47,1,2
108,0,10618,1,0,3.5,0,23,18,1,2
109,0,10666,2,2,3.0,8,5,68,1,2
110,0,10666,1,2,3.5,0,23,18,1,2
111,0,10706,2,1,4.25,2,0,48,1,2
112,0,10811,1,0,4.5,4,17,20,1,2
113,0,10833,2,1,3.0,8,3,23,1,2
114,0,10834,1,0,4.5,4,17,20,1,2
115,0,10873,1,0,3.0,8,5,68,1,2
116,0,10873,1,0,3.75,0,27,46,1,2
117,0,10888,1,0,2.5,8,5,69,1,2
118,0,10939,1,0,3.0,8,6,50,1,2
119,0,11055,2,0,3.0,8,6,63,1,2
120,0,11203,2,1,2.5,8,4,54,1,2
121,0,11204,2,2,3.0,8,3,23,1,2
122,0,11209,1,0,3.75,4,17,76,1,2
123,0,11278,1,1,2.2,2,13,33,1,2
124,0,11300,2,2,3.75,4,17,76,1,2
125,0,11300,1,2,3.0,0,27,55,1,2
126,0,11369,2,0,3.0,8,3,26,1,2
127,0,11371,2,2,3.75,2,0,5,1,2
128,0,11450,2,1,2.5,8,6,64,1,2
129,0,11457,2,0,3.5,2,13,31,1,2
130,0,11485,2,2,2.55,8,4,72,1,2
131,0,11507,2,1,3.1,2,25,44,1,2
132,0,11507,1,1,4.5,0,27,66,1,2
133,0,11515,1,1,2.5,2,10,59,1,2
134,0,11549,1,1,3.0,2,10,58,1,2
135,0,11554,2,2,3.0,8,3,23,1,2
136,0,11554,1,2,3.25,0,27,35,1,2
137,0,11558,2,2,2.5,8,4,54,1,2
138,0,11558,1,2,3.5,0,23,18,1,2
