transaction_id,transaction_qty,store_location,unit_price,product_category,product_type,product_detail,periodo,temporada
1,2,2,3.0,2,13,32,0,0
2,2,2,3.1,8,4,71,0,0
3,2,2,4.5,4,17,20,0,0
4,1,2,2.0,2,10,60,0,0
5,2,2,3.1,8,4,71,0,0
6,1,2,3.0,0,27,55,0,0
7,1,2,2.0,2,10,60,0,0
8,2,2,2.0,2,13,16,0,0
9,1,2,4.25,2,0,48,0,0
10,2,2,3.5,4,17,21,0,0
11,1,2,2.55,8,4,72,0,0
12,2,2,3.5,2,13,31,0,0
13,1,2,3.0,8,3,23,0,0
14,1,2,3.1,8,4,71,0,0
15,2,2,3.0,2,0,61,0,0
16,2,2,3.0,8,5,68,0,0
17,1,2,3.75,0,27,46,0,0
18,1,1,2.5,8,6,51,0,0
19,2,1,4.5,4,17,20,0,0
20,1,1,4.75,4,17,75,0,0
21,2,1,3.5,2,13,31,0,0
22,2,2,2.55,8,4,72,0,0
23,1,2,3.25,0,1,37,0,0
24,1,1,2.55,8,4,72,0,0
25,1,1,3.75,2,0,5,0,0
26,1,2,3.0,8,6,50,0,0
27,1,2,3.5,0,1,9,0,0
28,2,2,3.0,8,6,63,0,0
29,1,2,3.75,0,23,10,0,0
30,2,1,3.75,2,0,5,0,0
31,1,1,3.75,2,0,47,0,0
32,1,2,3.0,2,22,3,0,0
33,2,2,3.5,2,22,2,0,0
34,2,2,2.5,2,13,15,0,0
35,1,1,2.5,8,4,54,0,0
36,1,2,3.0,2,22,3,0,0
37,1,2,4.0,8,4,53,0,0
38,2,1,3.75,2,0,5,0,0
39,1,1,3.0,8,6,63,0,0
40,2,1,3.0,8,6,63,0,0
41,1,1,3.0,2,10,58,0,0
42,2,2,3.75,4,17,76,0,0
43,1,2,4.5,0,27,66,0,0
44,1,2,2.55,8,4,72,0,0
45,1,2,3.0,0,27,55,0,0
46,1,2,2.5,8,6,64,0,0
47,2,2,2.55,8,4,72,0,0
48,1,2,2.5,8,3,27,0,0
49,1,1,2.5,2,10,59,0,0
50,1,1,2.5,8,5,69,0,0
51,1,1,3.0,2,13,32,0,0
52,2,2,3.0,8,5,68,0,0
53,2,2,3.0,8,6,50,0,0
54,2,2,2.2,2,22,4,0,0
55,1,1,4.5,4,17,20,0,0
56,1,2,3.75,2,0,47,0,0
57,1,1,3.0,8,6,63,0,0
58,1,2,2.45,2,25,45,0,0
59,2,1,3.75,2,25,43,0,0
60,1,1,3.5,0,1,34,0,0
61,1,1,3.0,8,4,78,0,0
62,2,1,4.25,2,0,6,0,0
63,1,2,4.25,2,0,6,0,0
64,2,2,3.0,8,6,63,0,0
65,1,2,3.75,0,27,46,0,0
66,2,2,2.5,8,4,54,0,0
67,1,2,3.0,2,10,58,0,0
68,2,2,3.0,2,0,29,0,0
69,2,1,3.75,2,0,5,0,0
70,2,2,3.0,2,0,29,0,0
71,1,2,3.25,0,1,37,0,0
72,1,2,2.5,8,3,24,0,0
73,1,1,3.0,8,5,68,0,0
74,2,1,3.75,2,0,5,0,0
