transaction_id,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,periodo,temporada
1,2,5,Lower Manhattan,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,Mañana,Invierno
2,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Mañana,Invierno
3,2,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Mañana,Invierno
4,1,5,Lower Manhattan,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Mañana,Invierno
5,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Mañana,Invierno
6,1,5,Lower Manhattan,77,3.0,Bakery,Scone,Oatmeal Scone,Mañana,Invierno
7,1,5,Lower Manhattan,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Mañana,Invierno
8,2,5,Lower Manhattan,28,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Mañana,Invierno
9,1,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg,Mañana,Invierno
10,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Mañana,Invierno
11,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Mañana,Invierno
12,2,5,Lower Manhattan,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,Mañana,Invierno
13,1,5,Lower Manhattan,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,Mañana,Invierno
14,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Mañana,Invierno
15,2,5,Lower Manhattan,87,3.0,Coffee,Barista Espresso,Ouro Brasileiro shot,Mañana,Invierno
16,2,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,Mañana,Invierno
17,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,Mañana,Invierno
18,1,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg,Mañana,Invierno
19,2,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Mañana,Invierno
20,1,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Mañana,Invierno
21,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,Mañana,Invierno
22,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Mañana,Invierno
23,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,Mañana,Invierno
