transaction_id,transaction_date,transaction_time,transaction_qty,store_location,unit_price,product_category,product_type,product_detail,period,season
1,2023-01-01,2024-11-05 07:06:11,2,2,3.0,2,13,32,1,2
2,2023-01-01,2024-11-05 07:08:56,2,2,3.1,8,4,71,1,2
3,2023-01-01,2024-11-05 07:14:04,2,2,4.5,4,17,20,1,2
4,2023-01-01,2024-11-05 07:20:24,1,2,2.0,2,10,60,1,2
5,2023-01-01,2024-11-05 07:22:41,2,2,3.1,8,4,71,1,2
6,2023-01-01,2024-11-05 07:22:41,1,2,3.0,0,27,55,1,2
7,2023-01-01,2024-11-05 07:25:49,1,2,2.0,2,10,60,1,2
8,2023-01-01,2024-11-05 07:33:34,2,2,2.0,2,13,16,1,2
9,2023-01-01,2024-11-05 07:39:13,1,2,4.25,2,0,48,1,2
10,2023-01-01,2024-11-05 07:39:34,2,2,3.5,4,17,21,1,2
11,2023-01-01,2024-11-05 07:43:05,1,2,2.55,8,4,72,1,2
12,2023-01-01,2024-11-05 07:44:35,2,2,3.5,2,13,31,1,2
13,2023-01-01,2024-11-05 07:45:51,1,2,3.0,8,3,23,1,2
14,2023-01-01,2024-11-05 07:48:19,1,2,3.1,8,4,71,1,2
15,2023-01-01,2024-11-05 07:52:36,2,2,3.0,2,0,61,1,2
16,2023-01-01,2024-11-05 07:59:58,2,2,3.0,8,5,68,1,2
17,2023-01-01,2024-11-05 07:59:58,1,2,3.75,0,27,46,1,2
18,2023-01-01,2024-11-05 08:00:18,1,1,2.5,8,6,51,1,2
19,2023-01-01,2024-11-05 08:00:39,2,1,4.5,4,17,20,1,2
20,2023-01-01,2024-11-05 08:11:45,1,1,4.75,4,17,75,1,2
21,2023-01-01,2024-11-05 08:17:27,2,1,3.5,2,13,31,1,2
22,2023-01-01,2024-11-05 08:24:26,2,2,2.55,8,4,72,1,2
23,2023-01-01,2024-11-05 08:24:26,1,2,3.25,0,1,37,1,2
24,2023-01-01,2024-11-05 08:29:38,1,1,2.55,8,4,72,1,2
25,2023-01-01,2024-11-05 08:31:23,1,1,3.75,2,0,5,1,2
26,2023-01-01,2024-11-05 08:33:08,1,2,3.0,8,6,50,1,2
27,2023-01-01,2024-11-05 08:33:08,1,2,3.5,0,1,9,1,2
28,2023-01-01,2024-11-05 08:35:03,2,2,3.0,8,6,63,1,2
29,2023-01-01,2024-11-05 08:35:03,1,2,3.75,0,23,10,1,2
30,2023-01-01,2024-11-05 08:41:57,2,1,3.75,2,0,5,1,2
31,2023-01-01,2024-11-05 08:52:03,1,1,3.75,2,0,47,1,2
32,2023-01-01,2024-11-05 08:52:32,1,2,3.0,2,22,3,1,2
33,2023-01-01,2024-11-05 08:54:33,2,2,3.5,2,22,2,1,2
34,2023-01-01,2024-11-05 08:56:27,2,2,2.5,2,13,15,1,2
35,2023-01-01,2024-11-05 08:57:46,1,1,2.5,8,4,54,1,2
36,2023-01-01,2024-11-05 08:58:55,1,2,3.0,2,22,3,1,2
37,2023-01-01,2024-11-05 09:00:12,1,2,4.0,8,4,53,1,2
38,2023-01-01,2024-11-05 09:00:24,2,1,3.75,2,0,5,1,2
39,2023-01-01,2024-11-05 09:07:13,1,1,3.0,8,6,63,1,2
40,2023-01-01,2024-11-05 09:08:09,2,1,3.0,8,6,63,1,2
41,2023-01-01,2024-11-05 09:08:13,1,1,3.0,2,10,58,1,2
42,2023-01-01,2024-11-05 09:10:30,2,2,3.75,4,17,76,1,2
43,2023-01-01,2024-11-05 09:10:30,1,2,4.5,0,27,66,1,2
44,2023-01-01,2024-11-05 09:11:06,1,2,2.55,8,4,72,1,2
45,2023-01-01,2024-11-05 09:11:06,1,2,3.0,0,27,55,1,2
46,2023-01-01,2024-11-05 09:13:01,1,2,2.5,8,6,64,1,2
47,2023-01-01,2024-11-05 09:13:15,2,2,2.55,8,4,72,1,2
48,2023-01-01,2024-11-05 09:14:16,1,2,2.5,8,3,27,1,2
49,2023-01-01,2024-11-05 09:14:17,1,1,2.5,2,10,59,1,2
50,2023-01-01,2024-11-05 09:14:25,1,1,2.5,8,5,69,1,2
51,2023-01-01,2024-11-05 09:14:41,1,1,3.0,2,13,32,1,2
52,2023-01-01,2024-11-05 09:15:09,2,2,3.0,8,5,68,1,2
53,2023-01-01,2024-11-05 09:15:13,2,2,3.0,8,6,50,1,2
54,2023-01-01,2024-11-05 09:19:21,2,2,2.2,2,22,4,1,2
55,2023-01-01,2024-11-05 09:19:26,1,1,4.5,4,17,20,1,2
56,2023-01-01,2024-11-05 09:21:08,1,2,3.75,2,0,47,1,2
57,2023-01-01,2024-11-05 09:22:17,1,1,3.0,8,6,63,1,2
58,2023-01-01,2024-11-05 09:22:46,1,2,2.45,2,25,45,1,2
59,2023-01-01,2024-11-05 09:29:56,2,1,3.75,2,25,43,1,2
60,2023-01-01,2024-11-05 09:29:56,1,1,3.5,0,1,34,1,2
61,2023-01-01,2024-11-05 09:29:57,1,1,3.0,8,4,78,1,2
62,2023-01-01,2024-11-05 09:34:17,2,1,4.25,2,0,6,1,2
63,2023-01-01,2024-11-05 09:40:13,1,2,4.25,2,0,6,1,2
64,2023-01-01,2024-11-05 09:41:22,2,2,3.0,8,6,63,1,2
65,2023-01-01,2024-11-05 09:41:22,1,2,3.75,0,27,46,1,2
66,2023-01-01,2024-11-05 09:44:20,2,2,2.5,8,4,54,1,2
67,2023-01-01,2024-11-05 09:44:46,1,2,3.0,2,10,58,1,2
68,2023-01-01,2024-11-05 09:46:46,2,2,3.0,2,0,29,1,2
69,2023-01-01,2024-11-05 09:47:40,2,1,3.75,2,0,5,1,2
70,2023-01-01,2024-11-05 09:50:44,2,2,3.0,2,0,29,1,2
71,2023-01-01,2024-11-05 09:50:44,1,2,3.25,0,1,37,1,2
72,2023-01-01,2024-11-05 09:52:58,1,2,2.5,8,3,24,1,2
73,2023-01-01,2024-11-05 09:53:28,1,1,3.0,8,5,68,1,2
74,2023-01-01,2024-11-05 09:53:44,2,1,3.75,2,0,5,1,2
75,2023-01-01,2024-11-05 09:53:44,1,1,3.25,0,27,35,1,2
76,2023-01-01,2024-11-05 09:53:49,1,1,3.1,2,25,44,1,2
77,2023-01-01,2024-11-05 09:54:46,1,2,2.5,2,10,59,1,2
78,2023-01-01,2024-11-05 09:55:16,2,2,3.0,8,6,50,1,2
