transaction_date,transaction_time,transaction_qty,store_location,unit_price,product_category,product_type,product_detail,period,season
0,1156,2,2,3.0,2,13,32,1,2
0,1256,2,2,3.1,8,4,71,1,2
0,1435,2,2,4.5,4,17,20,1,2
0,1656,1,2,2.0,2,10,60,1,2
0,1731,2,2,3.1,8,4,71,1,2
0,1731,1,2,3.0,0,27,55,1,2
0,1829,1,2,2.0,2,10,60,1,2
0,2102,2,2,2.0,2,13,16,1,2
0,2314,1,2,4.25,2,0,48,1,2
0,2329,2,2,3.5,4,17,21,1,2
0,2457,1,2,2.55,8,4,72,1,2
0,2508,2,2,3.5,2,13,31,1,2
0,2559,1,2,3.0,8,3,23,1,2
0,2654,1,2,3.1,8,4,71,1,2
0,2817,2,2,3.0,2,0,61,1,2
0,3084,2,2,3.0,8,5,68,1,2
0,3084,1,2,3.75,0,27,46,1,2
0,3097,1,1,2.5,8,6,51,1,2
0,3112,2,1,4.5,4,17,20,1,2
0,3550,1,1,4.75,4,17,75,1,2
0,3800,2,1,3.5,2,13,31,1,2
0,4079,2,2,2.55,8,4,72,1,2
0,4079,1,2,3.25,0,1,37,1,2
0,4303,1,1,2.55,8,4,72,1,2
0,4382,1,1,3.75,2,0,5,1,2
0,4457,1,2,3.0,8,6,50,1,2
0,4457,1,2,3.5,0,1,9,1,2
0,4540,2,2,3.0,8,6,63,1,2
0,4540,1,2,3.75,0,23,10,1,2
0,4819,2,1,3.75,2,0,5,1,2
0,5232,1,1,3.75,2,0,47,1,2
0,5255,1,2,3.0,2,22,3,1,2
0,5341,2,2,3.5,2,22,2,1,2
0,5415,2,2,2.5,2,13,15,1,2
0,5474,1,1,2.5,8,4,54,1,2
0,5522,1,2,3.0,2,22,3,1,2
0,5567,1,2,4.0,8,4,53,1,2
0,5574,2,1,3.75,2,0,5,1,2
0,5859,1,1,3.0,8,6,63,1,2
0,5899,2,1,3.0,8,6,63,1,2
0,5901,1,1,3.0,2,10,58,1,2
0,5995,2,2,3.75,4,17,76,1,2
0,5995,1,2,4.5,0,27,66,1,2
0,6019,1,2,2.55,8,4,72,1,2
0,6019,1,2,3.0,0,27,55,1,2
0,6101,1,2,2.5,8,6,64,1,2
0,6111,2,2,2.55,8,4,72,1,2
0,6142,1,2,2.5,8,3,27,1,2
0,6143,1,1,2.5,2,10,59,1,2
0,6150,1,1,2.5,8,5,69,1,2
0,6163,1,1,3.0,2,13,32,1,2
0,6182,2,2,3.0,8,5,68,1,2
0,6184,2,2,3.0,8,6,50,1,2
0,6349,2,2,2.2,2,22,4,1,2
0,6353,1,1,4.5,4,17,20,1,2
0,6423,1,2,3.75,2,0,47,1,2
0,6477,1,1,3.0,8,6,63,1,2
0,6497,1,2,2.45,2,25,45,1,2
0,6803,2,1,3.75,2,25,43,1,2
0,6803,1,1,3.5,0,1,34,1,2
0,6804,1,1,3.0,8,4,78,1,2
0,6983,2,1,4.25,2,0,6,1,2
0,7226,1,2,4.25,2,0,6,1,2
0,7279,2,2,3.0,8,6,63,1,2
0,7279,1,2,3.75,0,27,46,1,2
0,7397,2,2,2.5,8,4,54,1,2
0,7420,1,2,3.0,2,10,58,1,2
0,7502,2,2,3.0,2,0,29,1,2
0,7538,2,1,3.75,2,0,5,1,2
0,7662,2,2,3.0,2,0,29,1,2
0,7662,1,2,3.25,0,1,37,1,2
0,7754,1,2,2.5,8,3,24,1,2
0,7772,1,1,3.0,8,5,68,1,2
0,7781,2,1,3.75,2,0,5,1,2
0,7781,1,1,3.25,0,27,35,1,2
0,7783,1,1,3.1,2,25,44,1,2
0,7826,1,2,2.5,2,10,59,1,2
0,7848,2,2,3.0,8,6,50,1,2
0,7904,1,1,2.0,2,10,60,1,2
